Temperature (C): 24.83		Pressure (Pa): 101011.69
Temperature (C): 25.59		Pressure (Pa): 100970.95
Temperature (C): 25.58		Pressure (Pa): 100972.63
Temperature (C): 25.58		Pressure (Pa): 100973.05
Temperature (C): 25.61		Pressure (Pa): 100972.39
Temperature (C): 25.60		Pressure (Pa): 100972.48
Temperature (C): 25.60		Pressure (Pa): 100972.05
Temperature (C): 25.61		Pressure (Pa): 100972.41
Temperature (C): 25.62		Pressure (Pa): 100973.25
Temperature (C): 25.62		Pressure (Pa): 100974.72
Temperature (C): 25.64		Pressure (Pa): 100972.80
Temperature (C): 25.67		Pressure (Pa): 100972.53
Temperature (C): 25.66		Pressure (Pa): 100971.52
Temperature (C): 25.67		Pressure (Pa): 100971.67
Temperature (C): 25.69		Pressure (Pa): 100972.11
Temperature (C): 25.70		Pressure (Pa): 100972.36
Temperature (C): 25.71		Pressure (Pa): 100970.72
Temperature (C): 25.71		Pressure (Pa): 100970.98
Temperature (C): 25.73		Pressure (Pa): 100971.27
Temperature (C): 25.70		Pressure (Pa): 100969.77
Temperature (C): 25.72		Pressure (Pa): 100970.95
Temperature (C): 25.71		Pressure (Pa): 100969.02
Temperature (C): 25.73		Pressure (Pa): 100969.45
Temperature (C): 25.71		Pressure (Pa): 100970.39
Temperature (C): 25.72		Pressure (Pa): 100968.78
Temperature (C): 25.72		Pressure (Pa): 100970.84
Temperature (C): 25.72		Pressure (Pa): 100970.09
Temperature (C): 25.72		Pressure (Pa): 100969.56
Temperature (C): 25.71		Pressure (Pa): 100968.73
Temperature (C): 25.72		Pressure (Pa): 100963.53
Temperature (C): 25.69		Pressure (Pa): 100953.02
Temperature (C): 25.68		Pressure (Pa): 100942.30
Temperature (C): 25.68		Pressure (Pa): 100933.61
Temperature (C): 25.69		Pressure (Pa): 100928.34
Temperature (C): 25.70		Pressure (Pa): 100926.80
Temperature (C): 25.68		Pressure (Pa): 100925.92
Temperature (C): 25.69		Pressure (Pa): 100926.31
Temperature (C): 25.71		Pressure (Pa): 100926.08
Temperature (C): 25.71		Pressure (Pa): 100926.30
Temperature (C): 25.69		Pressure (Pa): 100926.48
Temperature (C): 25.70		Pressure (Pa): 100926.47
Temperature (C): 25.69		Pressure (Pa): 100926.23
Temperature (C): 25.70		Pressure (Pa): 100927.19
Temperature (C): 25.70		Pressure (Pa): 100927.73
Temperature (C): 25.70		Pressure (Pa): 100927.73
Temperature (C): 25.69		Pressure (Pa): 100928.48
Temperature (C): 25.69		Pressure (Pa): 100928.02
Temperature (C): 25.69		Pressure (Pa): 100927.72
Temperature (C): 25.69		Pressure (Pa): 100927.19
Temperature (C): 25.70		Pressure (Pa): 100928.36
Temperature (C): 25.73		Pressure (Pa): 100927.95
Temperature (C): 25.71		Pressure (Pa): 100928.03
Temperature (C): 25.72		Pressure (Pa): 100928.58
Temperature (C): 25.73		Pressure (Pa): 100926.11
Temperature (C): 25.76		Pressure (Pa): 100927.84
Temperature (C): 25.78		Pressure (Pa): 100927.67
Temperature (C): 25.80		Pressure (Pa): 100927.14
Temperature (C): 25.81		Pressure (Pa): 100926.88
Temperature (C): 25.82		Pressure (Pa): 100927.64
Temperature (C): 25.82		Pressure (Pa): 100927.16
Temperature (C): 25.82		Pressure (Pa): 100928.41
Temperature (C): 25.82		Pressure (Pa): 100927.53
Temperature (C): 25.85		Pressure (Pa): 100927.69
Temperature (C): 25.86		Pressure (Pa): 100927.94
Temperature (C): 25.86		Pressure (Pa): 100927.55
Temperature (C): 25.85		Pressure (Pa): 100927.70
Temperature (C): 25.85		Pressure (Pa): 100927.34
Temperature (C): 25.85		Pressure (Pa): 100928.31
Temperature (C): 25.87		Pressure (Pa): 100928.06
Temperature (C): 25.87		Pressure (Pa): 100926.97
Temperature (C): 25.88		Pressure (Pa): 100928.88
Temperature (C): 25.89		Pressure (Pa): 100928.97
Temperature (C): 25.90		Pressure (Pa): 100926.78
Temperature (C): 25.89		Pressure (Pa): 100919.23
Temperature (C): 25.93		Pressure (Pa): 100911.52
Temperature (C): 25.90		Pressure (Pa): 100901.17
Temperature (C): 25.90		Pressure (Pa): 100893.05
Temperature (C): 25.93		Pressure (Pa): 100891.30
Temperature (C): 25.93		Pressure (Pa): 100891.91
Temperature (C): 25.94		Pressure (Pa): 100891.02
Temperature (C): 25.95		Pressure (Pa): 100889.00
Temperature (C): 25.98		Pressure (Pa): 100892.30
Temperature (C): 25.96		Pressure (Pa): 100892.22
Temperature (C): 25.96		Pressure (Pa): 100890.16
Temperature (C): 25.97		Pressure (Pa): 100891.64
Temperature (C): 25.99		Pressure (Pa): 100897.14
Temperature (C): 25.98		Pressure (Pa): 100896.38
Temperature (C): 26.01		Pressure (Pa): 100897.34
Temperature (C): 26.00		Pressure (Pa): 100896.75
Temperature (C): 26.01		Pressure (Pa): 100896.16
Temperature (C): 26.02		Pressure (Pa): 100896.66
Temperature (C): 26.05		Pressure (Pa): 100896.50
Temperature (C): 26.07		Pressure (Pa): 100895.11
Temperature (C): 26.08		Pressure (Pa): 100896.05
Temperature (C): 26.07		Pressure (Pa): 100895.48
Temperature (C): 26.08		Pressure (Pa): 100894.48
Temperature (C): 26.08		Pressure (Pa): 100887.30
Temperature (C): 26.09		Pressure (Pa): 100890.47
Temperature (C): 26.12		Pressure (Pa): 100891.20
Temperature (C): 26.14		Pressure (Pa): 100890.92
Temperature (C): 26.13		Pressure (Pa): 100892.31
Temperature (C): 26.15		Pressure (Pa): 100891.63
Temperature (C): 26.16		Pressure (Pa): 100891.08
Temperature (C): 26.18		Pressure (Pa): 100893.14
Temperature (C): 26.18		Pressure (Pa): 100893.86
Temperature (C): 26.18		Pressure (Pa): 100894.55
Temperature (C): 26.18		Pressure (Pa): 100894.53
Temperature (C): 26.20		Pressure (Pa): 100892.30
Temperature (C): 26.22		Pressure (Pa): 100895.28
Temperature (C): 26.21		Pressure (Pa): 100893.39
Temperature (C): 26.20		Pressure (Pa): 100893.48
Temperature (C): 26.25		Pressure (Pa): 100887.06
Temperature (C): 26.28		Pressure (Pa): 100892.97
Temperature (C): 26.28		Pressure (Pa): 100893.30
Temperature (C): 26.29		Pressure (Pa): 100892.77
Temperature (C): 26.28		Pressure (Pa): 100891.48
Temperature (C): 26.27		Pressure (Pa): 100892.83
Temperature (C): 26.27		Pressure (Pa): 100891.53
Temperature (C): 26.27		Pressure (Pa): 100893.42
Temperature (C): 26.27		Pressure (Pa): 100893.47
Temperature (C): 26.27		Pressure (Pa): 100893.66
Temperature (C): 26.32		Pressure (Pa): 100894.73
Temperature (C): 26.31		Pressure (Pa): 100895.20
Temperature (C): 26.32		Pressure (Pa): 100894.78
Temperature (C): 26.34		Pressure (Pa): 100893.66
Temperature (C): 26.36		Pressure (Pa): 100895.23
Temperature (C): 26.36		Pressure (Pa): 100895.11
Temperature (C): 26.38		Pressure (Pa): 100894.30
Temperature (C): 26.40		Pressure (Pa): 100894.17
Temperature (C): 26.40		Pressure (Pa): 100894.67
Temperature (C): 26.41		Pressure (Pa): 100894.92
Temperature (C): 26.42		Pressure (Pa): 100893.89
Temperature (C): 26.41		Pressure (Pa): 100893.05
Temperature (C): 26.40		Pressure (Pa): 100893.78
Temperature (C): 26.39		Pressure (Pa): 100893.41
Temperature (C): 26.40		Pressure (Pa): 100891.72
Temperature (C): 26.39		Pressure (Pa): 100892.08
Temperature (C): 26.40		Pressure (Pa): 100892.17
Temperature (C): 26.41		Pressure (Pa): 100891.66
Temperature (C): 26.43		Pressure (Pa): 100892.56
Temperature (C): 26.42		Pressure (Pa): 100889.22
Temperature (C): 26.42		Pressure (Pa): 100883.36
Temperature (C): 26.43		Pressure (Pa): 100874.02
Temperature (C): 26.47		Pressure (Pa): 100866.66
Temperature (C): 26.44		Pressure (Pa): 100859.38
Temperature (C): 26.43		Pressure (Pa): 100858.41
Temperature (C): 26.47		Pressure (Pa): 100858.59
Temperature (C): 26.48		Pressure (Pa): 100857.27
Temperature (C): 26.47		Pressure (Pa): 100857.75
Temperature (C): 26.49		Pressure (Pa): 100856.59
Temperature (C): 26.48		Pressure (Pa): 100857.45
Temperature (C): 26.47		Pressure (Pa): 100858.41
Temperature (C): 26.49		Pressure (Pa): 100856.81
Temperature (C): 26.46		Pressure (Pa): 100857.58
Temperature (C): 26.49		Pressure (Pa): 100852.39
Temperature (C): 26.52		Pressure (Pa): 100857.83
Temperature (C): 26.52		Pressure (Pa): 100856.97
Temperature (C): 26.50		Pressure (Pa): 100856.70
Temperature (C): 26.48		Pressure (Pa): 100857.20
Temperature (C): 26.48		Pressure (Pa): 100857.84
Temperature (C): 26.49		Pressure (Pa): 100854.91
Temperature (C): 26.51		Pressure (Pa): 100854.50
Temperature (C): 26.52		Pressure (Pa): 100852.86
Temperature (C): 26.52		Pressure (Pa): 100856.70
Temperature (C): 26.52		Pressure (Pa): 100859.52
Temperature (C): 26.53		Pressure (Pa): 100859.05
Temperature (C): 26.55		Pressure (Pa): 100858.08
Temperature (C): 26.54		Pressure (Pa): 100858.28
Temperature (C): 26.54		Pressure (Pa): 100857.28
Temperature (C): 26.55		Pressure (Pa): 100856.83
Temperature (C): 26.55		Pressure (Pa): 100857.05
Temperature (C): 26.54		Pressure (Pa): 100857.23
Temperature (C): 26.56		Pressure (Pa): 100856.83
Temperature (C): 26.56		Pressure (Pa): 100858.95
Temperature (C): 26.57		Pressure (Pa): 100857.94
Temperature (C): 26.57		Pressure (Pa): 100857.97
Temperature (C): 26.56		Pressure (Pa): 100857.94
Temperature (C): 26.59		Pressure (Pa): 100858.19
Temperature (C): 26.58		Pressure (Pa): 100862.25
Temperature (C): 26.60		Pressure (Pa): 100854.08
Temperature (C): 26.63		Pressure (Pa): 100845.89
Temperature (C): 26.63		Pressure (Pa): 100831.34
Temperature (C): 26.62		Pressure (Pa): 100824.38
Temperature (C): 26.64		Pressure (Pa): 100822.36
Temperature (C): 26.63		Pressure (Pa): 100821.06
Temperature (C): 26.63		Pressure (Pa): 100822.00
Temperature (C): 26.65		Pressure (Pa): 100821.28
Temperature (C): 26.65		Pressure (Pa): 100821.97
Temperature (C): 26.65		Pressure (Pa): 100825.08
Temperature (C): 26.64		Pressure (Pa): 100823.88
Temperature (C): 26.64		Pressure (Pa): 100822.89
Temperature (C): 26.64		Pressure (Pa): 100822.31
Temperature (C): 26.64		Pressure (Pa): 100823.95
Temperature (C): 26.63		Pressure (Pa): 100824.95
Temperature (C): 26.62		Pressure (Pa): 100825.22
Temperature (C): 26.62		Pressure (Pa): 100825.28
Temperature (C): 26.61		Pressure (Pa): 100823.67
Temperature (C): 26.62		Pressure (Pa): 100824.28
Temperature (C): 26.62		Pressure (Pa): 100823.84
Temperature (C): 26.62		Pressure (Pa): 100825.94
Temperature (C): 26.60		Pressure (Pa): 100824.66
Temperature (C): 26.61		Pressure (Pa): 100826.59
Temperature (C): 26.60		Pressure (Pa): 100824.97
Temperature (C): 26.61		Pressure (Pa): 100825.59
Temperature (C): 26.60		Pressure (Pa): 100825.16
Temperature (C): 26.61		Pressure (Pa): 100824.98
Temperature (C): 26.61		Pressure (Pa): 100826.41
Temperature (C): 26.61		Pressure (Pa): 100826.64
Temperature (C): 26.60		Pressure (Pa): 100827.80
Temperature (C): 26.62		Pressure (Pa): 100828.11
Temperature (C): 26.61		Pressure (Pa): 100827.34
Temperature (C): 26.60		Pressure (Pa): 100828.36
Temperature (C): 26.60		Pressure (Pa): 100827.56
Temperature (C): 26.60		Pressure (Pa): 100829.20
Temperature (C): 26.60		Pressure (Pa): 100826.58
Temperature (C): 26.58		Pressure (Pa): 100826.84
